,Data,AbsoluteError,RelativeError,ErrorPerNode,ErrorPerGraph,MaxError,MaxErrorPerGraph
,MUTAG,1,0.000065,0.000297,0.005319,1,1
,NCI1,0,-nan,-nan,-nan,0,0
,NCI109,0,-nan,-nan,-nan,0,0
,OHSU,0,-nan,-nan,-nan,0,0
,Peking_1,0,-nan,-nan,-nan,0,0
,PTC_FM,0,-nan,-nan,-nan,0,0
,PTC_FR,0,-nan,-nan,-nan,0,0
,PTC_MM,0,-nan,-nan,-nan,0,0
,PTC_MR,0,-nan,-nan,-nan,0,0
,COIL-DEL,0,-nan,-nan,-nan,0,0
,Cuneiform,0,-nan,-nan,-nan,0,0
,ENZYMES,0,-nan,-nan,-nan,0,0
,KKI,0,-nan,-nan,-nan,0,0
,MSRC_9,0,-nan,-nan,-nan,0,0
,MSRC_21,0,-nan,-nan,-nan,0,0
